,size,density,time
441,50,0.9,0.00021195411682128906
442,50,0.9,0.0002129077911376953
443,50,0.9,0.00020694732666015625
444,50,0.9,0.00021004676818847656
445,50,0.9,0.00020766258239746094
446,50,0.9,0.00021505355834960938
447,50,0.9,0.00021004676818847656
448,50,0.9,0.00021195411682128906
449,50,0.9,0.00021004676818847656
450,60,0.1,0.00013971328735351562
451,60,0.1,0.0001437664031982422
452,60,0.1,0.00014090538024902344
453,60,0.1,0.0001468658447265625
454,60,0.1,0.00014066696166992188
455,60,0.1,0.00014901161193847656
456,60,0.1,0.00014591217041015625
457,60,0.1,0.000141143798828125
458,60,0.1,0.00014281272888183594
459,60,0.1,0.0001437664031982422
460,60,0.1,0.00014495849609375
461,60,0.1,0.0001461505889892578
462,60,0.1,0.0001437664031982422
463,60,0.1,0.00014209747314453125
464,60,0.1,0.00013494491577148438
465,60,0.1,0.00014209747314453125
466,60,0.1,0.00014400482177734375
467,60,0.1,0.0001437664031982422
468,60,0.1,0.00014209747314453125
469,60,0.1,0.00014090538024902344
470,60,0.3,0.00018477439880371094
471,60,0.3,0.00018405914306640625
472,60,0.3,0.0001819133758544922
473,60,0.3,0.0001850128173828125
474,60,0.3,0.0001888275146484375
475,60,0.3,0.00017905235290527344
476,60,0.3,0.00018095970153808594
477,60,0.3,0.00018596649169921875
478,60,0.3,0.00018310546875
479,60,0.3,0.00018095970153808594
480,60,0.3,0.00018286705017089844
481,60,0.3,0.00018405914306640625
482,60,0.3,0.00018405914306640625
483,60,0.3,0.0001919269561767578
484,60,0.3,0.0001800060272216797
485,60,0.3,0.00019097328186035156
486,60,0.3,0.000179290771484375
487,60,0.3,0.00018405914306640625
488,60,0.3,0.00018095970153808594
489,60,0.3,0.00018715858459472656
490,60,0.5,0.0002300739288330078
491,60,0.5,0.0002276897430419922
492,60,0.5,0.00022602081298828125
493,60,0.5,0.00024175643920898438
494,60,0.5,0.000225067138671875
495,60,0.5,0.0002288818359375
496,60,0.5,0.00022602081298828125
497,60,0.5,0.0002200603485107422
498,60,0.5,0.00022602081298828125
499,60,0.5,0.00023317337036132812
500,60,0.5,0.0002193450927734375
501,60,0.5,0.00022673606872558594
502,60,0.5,0.00023484230041503906
503,60,0.5,0.00022602081298828125
504,60,0.5,0.00023221969604492188
505,60,0.5,0.0002269744873046875
506,60,0.5,0.0002231597900390625
507,60,0.5,0.00022983551025390625
508,60,0.5,0.0002238750457763672
509,60,0.5,0.00022673606872558594
510,60,0.7,0.00026416778564453125
511,60,0.7,0.00026607513427734375
512,60,0.7,0.0002810955047607422
513,60,0.7,0.0002620220184326172
514,60,0.7,0.0002639293670654297
515,60,0.7,0.0002639293670654297
516,60,0.7,0.00026106834411621094
517,60,0.7,0.00026798248291015625
518,60,0.7,0.00026702880859375
519,60,0.7,0.00026297569274902344
520,60,0.7,0.0002639293670654297
521,60,0.7,0.0002639293670654297
522,60,0.7,0.0002658367156982422
523,60,0.7,0.0002720355987548828
524,60,0.7,0.00026488304138183594
525,60,0.7,0.0002598762512207031
526,60,0.7,0.0002880096435546875
527,60,0.7,0.0002658367156982422
528,60,0.7,0.00026702880859375
529,60,0.7,0.0002639293670654297
530,60,0.9,0.0002961158752441406
531,60,0.9,0.00030612945556640625
532,60,0.9,0.00028896331787109375
533,60,0.9,0.0002980232238769531
534,60,0.9,0.0002982616424560547
535,60,0.9,0.000308990478515625
536,60,0.9,0.000293731689453125
537,60,0.9,0.00029778480529785156
538,60,0.9,0.0002899169921875
539,60,0.9,0.0002980232238769531
540,60,0.9,0.00029587745666503906
541,60,0.9,0.0002999305725097656
542,60,0.9,0.0002961158752441406
543,60,0.9,0.0002970695495605469
544,60,0.9,0.0002932548522949219
545,60,0.9,0.0002968311309814453
546,60,0.9,0.0002961158752441406
547,60,0.9,0.00029587745666503906
548,60,0.9,0.0002949237823486328
549,60,0.9,0.0002970695495605469
550,70,0.1,0.00019407272338867188
551,70,0.1,0.00019025802612304688
552,70,0.1,0.00018715858459472656
553,70,0.1,0.0001862049102783203
554,70,0.1,0.00018405914306640625
555,70,0.1,0.000186920166015625
556,70,0.1,0.0001888275146484375
557,70,0.1,0.000186920166015625
558,70,0.1,0.00018715858459472656
559,70,0.1,0.00018405914306640625
560,70,0.1,0.00018906593322753906
561,70,0.1,0.00018715858459472656
562,70,0.1,0.00018906593322753906
563,70,0.1,0.00018715858459472656
564,70,0.1,0.00019097328186035156
565,70,0.1,0.0001862049102783203
566,70,0.1,0.00019812583923339844
567,70,0.1,0.00018787384033203125
568,70,0.1,0.0001919269561767578
569,70,0.1,0.00018787384033203125
570,70,0.3,0.0002429485321044922
571,70,0.3,0.00024080276489257812
572,70,0.3,0.00025010108947753906
573,70,0.3,0.00024819374084472656
574,70,0.3,0.00023674964904785156
575,70,0.3,0.00024390220642089844
576,70,0.3,0.00024771690368652344
577,70,0.3,0.0002551078796386719
578,70,0.3,0.00024700164794921875
579,70,0.3,0.00024700164794921875
580,70,0.3,0.00024700164794921875
581,70,0.3,0.0002491474151611328
582,70,0.3,0.00025200843811035156
583,70,0.3,0.00024509429931640625
584,70,0.3,0.00024175643920898438
